"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"552",2021-09-08,13849,5218091,1498,264471,15915,706,163,2447,7,1336,11.26
"553",2021-09-09,13678,5231769,1467,265938,16199,722,177,2457,10,1256,11.2
"554",2021-09-10,14590,5246359,1647,267585,16664,769,189,2466,9,872,11.76
"555",2021-09-11,12216,5258575,1479,269064,17413,785,193,2471,5,890,12.4
"556",2021-09-12,13368,5271943,1579,270643,18287,835,209,2482,11,575,12.19
"557",2021-09-13,11942,5283885,1422,272065,18145,854,223,2495,13,467,12.4
"558",2021-09-14,15891,5299776,1637,273702,18350,904,220,2507,12,633,10.74
"559",2021-09-15,16423,5316199,1721,275423,18644,926,222,2523,16,671,10.87
"560",2021-09-16,17387,5333586,2001,277424,19121,944,219,2536,13,704,11.88
"561",2021-09-17,16430,5350016,1598,279022,19266,952,215,2551,15,688,10.13
"562",2021-09-18,16562,5366578,1588,280610,20036,963,205,2566,15,678,9.93
"563",2021-09-19,13443,5380021,1431,282041,20512,989,220,2582,16,583,11.09
"564",2021-09-20,13716,5393737,1523,283564,20825,1028,224,2596,14,559,11.59
"565",2021-09-21,14584,5408321,1317,284881,20185,1070,237,2615,19,637,9.37
"566",2021-09-22,17995,5426316,1686,286567,20106,1084,234,2625,10,710,9.73
"567",2021-09-23,16947,5443263,1670,288237,19989,1101,247,2634,9,708,10.24
"568",2021-09-24,15926,5459189,1871,290108,20040,1100,254,2652,18,730,12.14
"569",2021-09-25,14874,5474063,1526,291634,20403,1076,262,2666,14,545,10.54
"570",2021-09-26,15075,5489138,1742,293376,21194,1099,266,2684,18,645,11.97
"571",2021-09-27,11173,5500311,1272,294648,20432,1134,262,2697,13,532,11.67
"572",2021-09-28,15073,5515384,1709,296357,20244,1108,268,2712,15,578,11.62
"573",2021-09-29,17641,5533025,1723,298080,20199,1107,264,2730,18,754,10.13
"574",2021-09-30,15886,5548911,1655,299735,20179,1091,264,2741,11,616,10.69
"575",2021-10-01,14537,5563448,1614,301349,20236,1087,261,2755,14,648,11.3
"576",2021-10-02,14330,5577778,1282,302631,20444,1113,259,2781,26,502,9.25
"577",2021-10-03,10429,5588207,1131,303762,20591,1103,258,2794,13,426,11.06
"578",2021-10-04,8034,5596241,699,304461,19413,1120,252,2809,15,385,8.96
"579",2021-10-05,15423,5611664,1267,305728,18895,1119,248,2819,10,584,8.4
"580",2021-10-06,15624,5627288,1246,306974,18387,1116,248,2828,9,612,8.23
"581",2021-10-07,14756,5642044,1266,308240,17818,1110,249,2845,17,569,8.79
"582",2021-10-08,13981,5656025,1093,309333,17081,1083,252,2856,11,481,7.9
"583",2021-10-09,11628,5667653,1046,310379,17126,1042,241,2867,11,389,9.11
"584",2021-10-10,7719,5675372,632,311011,16728,1064,244,2884,17,302,8.45
"585",2021-10-11,7346,5682718,605,311616,15264,1059,241,2897,13,190,8.39
"586",2021-10-12,8620,5691338,669,312285,14218,1027,236,2901,4,62,7.65
